observation_date,JTSJOL
2014-01-01,4127
2014-02-01,4373
2014-03-01,4388
2014-04-01,4566
2014-05-01,4747
2014-06-01,4982
2014-07-01,4846
2014-08-01,5349
2014-09-01,4914
2014-10-01,5012
2014-11-01,4843
2014-12-01,5130
2015-01-01,5344
2015-02-01,5466
2015-03-01,5210
2015-04-01,5598
2015-05-01,5563
2015-06-01,5248
2015-07-01,6056
2015-08-01,5467
2015-09-01,5488
2015-10-01,5773
2015-11-01,5708
2015-12-01,5845
2016-01-01,6012
2016-02-01,5770
2016-03-01,6129
2016-04-01,5803
2016-05-01,5777
2016-06-01,5742
2016-07-01,5962
2016-08-01,5677
2016-09-01,5868
2016-10-01,5591
2016-11-01,5971
2016-12-01,5964
2017-01-01,5617
2017-02-01,5923
2017-03-01,5811
2017-04-01,6091
2017-05-01,5826
2017-06-01,6305
2017-07-01,6238
2017-08-01,6276
2017-09-01,6320
2017-10-01,6408
2017-11-01,6271
2017-12-01,6336
2018-01-01,6621
2018-02-01,6552
2018-03-01,6818
2018-04-01,6877
2018-05-01,7016
2018-06-01,7230
2018-07-01,7190
2018-08-01,7208
2018-09-01,7411
2018-10-01,7304
2018-11-01,7594
2018-12-01,7489
2019-01-01,7502
2019-02-01,7066
2019-03-01,7317
2019-04-01,7272
2019-05-01,7275
2019-06-01,7194
2019-07-01,7042
2019-08-01,7178
2019-09-01,7124
2019-10-01,7289
2019-11-01,6888
2019-12-01,6699
2020-01-01,7124
2020-02-01,6966
2020-03-01,5894
2020-04-01,4606
2020-05-01,5612
2020-06-01,6129
2020-07-01,6530
2020-08-01,6429
2020-09-01,6511
2020-10-01,6798
2020-11-01,6820
2020-12-01,6773
2021-01-01,7204
2021-02-01,7752
2021-03-01,8470
2021-04-01,9356
2021-05-01,9905
2021-06-01,10298
2021-07-01,11049
2021-08-01,10956
2021-09-01,10879
2021-10-01,11341
2021-11-01,11119
2021-12-01,11417
2022-01-01,11238
2022-02-01,11661
2022-03-01,12134
2022-04-01,11881
2022-05-01,11483
2022-06-01,11256
2022-07-01,11610
2022-08-01,10148
2022-09-01,10812
2022-10-01,10488
2022-11-01,10619
2022-12-01,10876
2023-01-01,10393
2023-02-01,9846
2023-03-01,9572
2023-04-01,9992
2023-05-01,9310
2023-06-01,9191
2023-07-01,8606
2023-08-01,9287
2023-09-01,9279
2023-10-01,8550
2023-11-01,8663
2023-12-01,8585
2024-01-01,8468
2024-02-01,8445
2024-03-01,8093
2024-04-01,7619
2024-05-01,7901
2024-06-01,7412
2024-07-01,7504
2024-08-01,7649
2024-09-01,7103
2024-10-01,7615
2024-11-01,8031
2024-12-01,7508
2025-01-01,7762
2025-02-01,7480
2025-03-01,7192
